,subject,metadata.category.set,metadata.category.len,metadata.category.valid,metadata.category.reasons,metadata.unit.value,metadata.unit.valid,metadata.unit.reasons,metadata.dims.shape,metadata.dims.value,metadata.dims.valid,metadata.dims.reasons,metadata.valid,metadata.reasons,valid_x,reasons_x,metadata.dims.product,metadata.dims_by_unit,valid_y,reasons_y,paths.source_mesh.exists,paths.source_mesh.fsize,paths.source_mesh.valid,paths.source_mesh.reasons,paths.source_mask.exists,paths.source_mask.fsize,paths.source_mask.valid,paths.source_mask.reasons,paths.valid,paths.reasons,paths.source_mask.exc
0,wss.100f39dce7690f59efb94709f30ce0d2,"{'Chair', 'Recliner'}",2.0,True,(),0.0129471722278774,True,(),"(3,)",[111.34567  100.547745  96.13275 ],True,(),True,(),True,(),1076259.589328874,[8599.99913806 7766.00042313 7424.99970712],True,(),True,95717.0,True,(),True,56778.0,True,(),True,(),
1,wss.101354f9d8dede686f7b08d9de913afe,"{'Speaker', '_Attributes'}",2.0,True,(),0.0136197560186615,True,(),"(3,)",[43.43313  60.591843 32.17259 ],True,(),True,(),True,(),84668.39256953818,[3188.98003316 4448.82000213 2362.20017127],True,(),True,242527.0,True,(),True,52106.0,True,(),True,(),
2,wss.1018f01d42ae7fad52249d8432f6087e,{'Sword'},1.0,True,(),0.0104244722097917,True,(),"(3,)",[78.23693   4.360932 18.058533],True,(),True,(),True,(),6161.317405273121,[7505.12145128  418.33599939 1732.32108413],True,(),True,1342220.0,True,(),True,17187.0,True,(),True,(),
3,wss.1022fe7dd03f6a4d4d5ad9f13ac9f4e7,"{'Chair', 'OfficeChair'}",2.0,True,(),0.0179843046730399,True,(),"(3,)",[60.366123 98.00925  66.79712 ],True,(),True,(),True,(),395201.04849189264,[3356.60032998 5449.71027692 3714.18974569],True,(),True,12347930.0,True,(),True,39138.0,True,(),True,(),
4,wss.1028b32dc1873c2afe26a3ac360dbd4,"{'Chair', 'OfficeSideChair'}",2.0,True,(),0.0361153361552668,True,(),"(3,)",[ 78.41001  117.685616  77.54468 ],True,(),True,(),True,(),715561.3953657814,[2171.10010171 3258.60502846 2147.13992047],True,(),True,982656.0,True,(),True,30383.0,True,(),True,(),
5,wss.1029fd5d71a06ea32ea98d69e91ba870,{'ChestOfDrawers'},1.0,True,(),0.0196310532297266,True,(),"(3,)",[ 70.55165  148.1222    41.225212],True,(),True,(),True,(),430814.41529575636,[3593.88002133 7545.3007165  2100.00001108],True,(),True,4735976.0,True,(),True,38410.0,True,(),True,(),
6,wss.102a6b7809f4e51813842bc8ef6fe18,"{'Computer', 'Desktop'}",2.0,True,(),0.0252523796174786,True,(),"(3,)",[23.257397 46.2361   60.778683],True,(),True,(),True,(),65357.22223461261,[ 920.99823273 1830.96011942 2406.84972746],True,(),True,611172.0,True,(),True,30739.0,True,(),True,(),
7,wss.1033ee86cc8bac4390962e4fb7072b86,{'Chair'},1.0,True,(),0.0246912617720506,True,(),"(3,)",[ 66.430275  98.00357  109.57538 ],True,(),True,(),True,(),713380.0038774679,[2690.43662545 3969.16005771 4437.82018965],True,(),True,3006420.0,True,(),True,24774.0,True,(),True,(),
8,wss.104221f8a5b6676aa1dda33d5a7c8c38,"{'Table', 'RoundTable', 'AccentTable'}",3.0,True,(),0.0354411148919716,True,(),"(3,)",[61.418324 99.757866 61.683174],True,(),True,(),True,(),377930.39747790596,[1732.96816952 2814.7496574  1740.44112856],True,(),True,426815.0,True,(),True,22174.0,True,(),True,(),
9,wss.1043b403dd2e79128081f4adb71040,{'Plant'},1.0,True,(),0.0023101191578797,True,(),"(3,)",[272.1563   74.93356 189.14935],True,(),True,(),True,(),3857443.832494923,[117810.50300877  32437.09734383  81878.61191265],True,(),True,4737134.0,True,(),True,19542.0,True,(),True,(),
