subject,metadata.category.set,metadata.category.len,metadata.category.set_f,metadata.category.len_f,metadata.category.valid,metadata.category.reasons,metadata.unit.value,metadata.unit.valid,metadata.unit.reasons,metadata.dims.shape,metadata.dims.value,metadata.dims.xyz_m,metadata.dims.prod,metadata.dims.prod_m,metadata.dims.valid,metadata.dims.reasons,metadata.valid,metadata.reasons,paths.source_mesh.exists,paths.source_mesh.fsize,paths.source_mesh.valid,paths.source_mesh.reasons,paths.source_mask.exists,paths.source_mask.fsize,paths.source_mask.valid,paths.source_mask.reasons,paths.valid,paths.reasons,artifacts.scene.geometries,artifacts.scene.mesh.vertices,artifacts.scene.mesh.bbox_min,artifacts.scene.mesh.bbox_max,artifacts.scene.mesh.extent,artifacts.scene.mesh.faces,artifacts.scene.mesh.surface_area,artifacts.scene.mesh.boundary_edges,artifacts.scene.mesh.interior_edges,artifacts.scene.mesh.nonmanifold_edges,artifacts.scene.mesh.euler_number,artifacts.scene.mesh.watertight,artifacts.scene.mesh.components,artifacts.scene.mesh.volume,artifacts.scene.mesh.ch_volume,artifacts.scene.mesh.convexity,artifacts.scene.mesh.valid,artifacts.scene.mesh.reasons,artifacts.scene.repair.vertices,artifacts.scene.repair.bbox_min,artifacts.scene.repair.bbox_max,artifacts.scene.repair.extent,artifacts.scene.repair.faces,artifacts.scene.repair.surface_area,artifacts.scene.repair.boundary_edges,artifacts.scene.repair.interior_edges,artifacts.scene.repair.nonmanifold_edges,artifacts.scene.repair.euler_number,artifacts.scene.repair.watertight,artifacts.scene.repair.components,artifacts.scene.repair.volume,artifacts.scene.repair.ch_volume,artifacts.scene.repair.convexity,artifacts.scene.repair.valid,artifacts.scene.repair.reasons,artifacts.scene.valid,artifacts.scene.reasons,artifacts.binvox.dims,artifacts.binvox.translate,artifacts.binvox.scale,artifacts.binvox.axis_order,artifacts.binvox.array.ndim,artifacts.binvox.array.shape,artifacts.binvox.array.dtype,artifacts.binvox.array.min,artifacts.binvox.array.max,artifacts.binvox.array.sum,artifacts.binvox.array.mean,artifacts.binvox.array.nonzero,artifacts.binvox.array.nans,artifacts.binvox.array.components,artifacts.binvox.array.thickness_p5,artifacts.binvox.array.thickness_p50,artifacts.binvox.array.thickness_p95,artifacts.binvox.array.area_p5,artifacts.binvox.array.area_p50,artifacts.binvox.array.area_p95,artifacts.binvox.array.valid,artifacts.binvox.array.reasons,artifacts.binvox.clean.ndim,artifacts.binvox.clean.shape,artifacts.binvox.clean.dtype,artifacts.binvox.clean.min,artifacts.binvox.clean.max,artifacts.binvox.clean.sum,artifacts.binvox.clean.mean,artifacts.binvox.clean.nonzero,artifacts.binvox.clean.nans,artifacts.binvox.clean.components,artifacts.binvox.clean.thickness_p5,artifacts.binvox.clean.thickness_p50,artifacts.binvox.clean.thickness_p95,artifacts.binvox.clean.area_p5,artifacts.binvox.clean.area_p50,artifacts.binvox.clean.area_p95,artifacts.binvox.clean.valid,artifacts.binvox.clean.reasons,artifacts.binvox.valid,artifacts.binvox.reasons,artifacts.valid,artifacts.reasons,valid,reasons,artifacts.scene.exc,paths.source_mask.exc,source_path,job_name,job_id,dims_error
wss.100f39dce7690f59efb94709f30ce0d2,"{'Recliner', 'Chair'}",2,"{'Recliner', 'Chair'}",2,True,(),0.0129471722278774,True,(),"(3,)",[111.34567  100.547745  96.13275 ],[1.1134567  0.9613275  1.00547745],1076259.589328874,1.076259589328874,True,(),True,(),True,95717,True,(),True,56778,True,(),True,(),2,1161,[157.688   10.8769   0.    ],[243.688   85.1269  77.66  ],[86.   74.25 77.66],387,43697.92246276559,1161,0,0,387,False,387,195970.77372828752,369312.15806723735,0.5306372114957799,True,(),66.0,[157.68800354  10.87689972   0.        ],[243.68800354  79.87689972  44.02930069],[86.         69.         44.02930069],128.0,24775.088392059857,0.0,192.0,0.0,2.0,True,1.0,244948.1522439852,259561.4856190534,0.9436999162637112,True,(),True,(),[128 128 128],[-157.688   -10.8769   -0.    ],0.0116279,xyz,3.0,"(128, 128, 128)",bool,0.0,1.0,801269.0,0.3820748329162597,801269.0,0.0,5.0,1.4142135623730951,11.0,30.59411708155671,0.1111328125,0.39300537109375,0.8046875,True,(),3.0,"(128, 128, 128)",bool,0.0,1.0,801295.0,0.382087230682373,801295.0,0.0,1.0,1.4142135623730951,12.0,36.013886210738214,0.1111328125,0.39300537109375,0.8046875,True,(),True,(),True,(),True,(),,,/ocean/projects/asc170022p/mtragoza/lung-project/notebooks/shapenet/2025-10-30_validate/0103f8f8d5c25bf7/output.csv,0103f8f8d5c25bf7,35732758,7.294374966569506e-08
wss.101354f9d8dede686f7b08d9de913afe,"{'Speaker', '_Attributes'}",2,{'Speaker'},1,True,(),0.0136197560186615,True,(),"(3,)",[43.43313  60.591843 32.17259 ],[0.4343313  0.3217259  0.60591843],84668.39256953818,0.0846683925695382,True,(),True,(),True,242527,True,(),True,52106,True,(),True,(),7,3372,[ 0.       -0.393701  0.      ],[31.8898 23.2283 44.4882],[31.8898   23.622001 44.4882  ],1124,13574.472754913064,3372,0,0,1124,False,1124,-4.850638409455617e-12,,,False,"('zero volume',)",310.0,[ 0.         -0.39370099  0.        ],[31.88979912 23.22830009 44.48820114],[31.88979912 23.62200108 44.48820114],616.0,6725.390804671539,0.0,924.0,0.0,2.0,True,1.0,32526.66047636046,33363.570473108986,0.9749154546446676,True,(),True,(),[128 128 128],[-0.        0.393701 -0.      ],0.0224779,xyz,3.0,"(128, 128, 128)",bool,0.0,1.0,780383.0,0.3721156120300293,780383.0,0.0,4.0,2.0,12.0,26.0,0.34010009765625,0.5048828125,0.71875,True,(),3.0,"(128, 128, 128)",bool,0.0,1.0,780394.0,0.3721208572387695,780394.0,0.0,1.0,2.0,13.0,30.0,0.3405029296875,0.505218505859375,0.71875,True,(),True,(),True,(),True,(),,,/ocean/projects/asc170022p/mtragoza/lung-project/notebooks/shapenet/2025-10-30_validate/0103f8f8d5c25bf7/output.csv,0103f8f8d5c25bf7,35732758,1.3190754197981234e-08
wss.1029fd5d71a06ea32ea98d69e91ba870,{'ChestOfDrawers'},1,{'ChestOfDrawers'},1,True,(),0.0196310532297266,True,(),"(3,)",[ 70.55165  148.1222    41.225212],[0.7055165  0.41225212 1.481222  ],430814.4152957564,0.4308144152957563,True,(),True,(),True,4735976,True,(),True,38410,True,(),True,(),3,48840,[0. 0. 0.],[35.9388 21.     75.453 ],[35.9388 21.     75.453 ],16280,9832.04624829454,48840,0,0,16280,False,16280,50773.89585952615,54968.65754504403,0.9236881184140164,True,(),665.0,[0. 0. 0.],[35.93880081 21.         75.45300293],[35.93880081 21.         75.45300293],1326.0,9793.085106838837,0.0,1989.0,0.0,2.0,True,1.0,50766.69152435794,53967.06868511056,0.9406975913510084,True,(),True,(),[128 128 128],[0. 0. 0.],75.453,xyz,3.0,"(128, 128, 128)",bool,0.0,1.0,244020.0,0.1163578033447265,244020.0,0.0,5.0,1.0,6.324555320336759,15.0,0.1158447265625,0.1158447265625,0.44580078125,True,(),3.0,"(128, 128, 128)",bool,0.0,1.0,244016.0,0.1163558959960937,244016.0,0.0,1.0,1.0,6.324555320336759,15.0,0.1158447265625,0.1158447265625,0.44580078125,True,(),True,(),True,(),True,(),,,/ocean/projects/asc170022p/mtragoza/lung-project/notebooks/shapenet/2025-10-30_validate/0103f8f8d5c25bf7/output.csv,0103f8f8d5c25bf7,35732758,8.319421853608097e-08
wss.102a6b7809f4e51813842bc8ef6fe18,"{'Desktop', 'Computer'}",2,"{'Desktop', 'Computer'}",2,True,(),0.0252523796174786,True,(),"(3,)",[23.257397 46.2361   60.778683],[0.23257397 0.60778683 0.462361  ],65357.22223461261,0.0653572222346126,True,(),True,(),True,611172,True,(),True,30739,True,(),True,(),7,7428,[ -0.558012 -23.9717     0.      ],[ 8.65197    0.0967941 18.3096   ],[ 9.209982  24.0684941 18.3096   ],2476,3123.985167748584,7428,0,0,2476,False,2476,3.031649005909761e-13,,,False,"('zero volume',)",606.0,[ -0.558012 -23.9717     0.      ],[ 8.65197    0.0967941 18.3096   ],[ 9.209982  24.0684941 18.3096   ],1208.0,1561.8694571871952,0.0,1812.0,0.0,2.0,True,1.0,3523.239090615201,3694.197160200473,0.9537225377608176,True,(),True,(),[128 128 128],[ 0.558012 23.9717   -0.      ],0.0415481,xyz,3.0,"(128, 128, 128)",bool,0.0,1.0,529924.0,0.2526874542236328,529924.0,0.0,1.0,1.0,9.0,21.0,0.208197021484375,0.31854248046875,0.71148681640625,True,(),3.0,"(128, 128, 128)",bool,0.0,1.0,529928.0,0.2526893615722656,529928.0,0.0,1.0,1.0,9.0,21.0,0.208197021484375,0.31854248046875,0.71148681640625,True,(),True,(),True,(),True,(),,,/ocean/projects/asc170022p/mtragoza/lung-project/notebooks/shapenet/2025-10-30_validate/0103f8f8d5c25bf7/output.csv,0103f8f8d5c25bf7,35732758,1.0778979392096407e-07
wss.107637b6bdf8129d4904d89e9169817b,{'Couch'},1,{'Couch'},1,True,(),0.0226253562317846,True,(),"(3,)",[201.62453  98.47731 101.64667],[2.0162453 1.0164667 0.9847731],2018239.4940400368,2.018239494040037,True,(),True,(),True,2073844,True,(),True,64071,True,(),True,(),4,26448,[-3.8147e-06  0.0000e+00  0.0000e+00],[89.1144 44.926  43.5252],[89.11440381 44.926      43.5252    ],8816,67882.09943679432,26448,0,0,8816,False,8816,0.0,,,False,"('zero volume',)",750.0,[16.0426    0.263275 14.5352  ],[73.2308 33.6046 24.2368],[57.1882   33.341325  9.7016  ],1496.0,4668.943197502267,0.0,2244.0,0.0,2.0,True,1.0,15647.15312836911,15669.000288583891,0.9986057080980016,True,(),True,(),[128 128 128],[ 3.8147e-06 -0.0000e+00 -0.0000e+00],0.0112215,xyz,3.0,"(128, 128, 128)",bool,0.0,1.0,279390.0,0.1332235336303711,279390.0,0.0,34.0,1.0,4.0,9.0,0.09947509765625,0.165771484375,0.46424560546875,True,(),3.0,"(128, 128, 128)",bool,0.0,1.0,279373.0,0.1332154273986816,279373.0,0.0,1.0,1.0,4.0,9.055385138137416,0.10748291015625,0.16778564453125,0.4644775390625,True,(),True,(),True,(),True,(),,,/ocean/projects/asc170022p/mtragoza/lung-project/notebooks/shapenet/2025-10-30_validate/0103f8f8d5c25bf7/output.csv,0103f8f8d5c25bf7,35732758,7.520307144216014e-08
wss.111cb08c8121b8411749672386e0b711,{'Chair'},1,{'Chair'},1,True,(),0.0246908216967286,True,(),"(3,)",[95.79794  98.10305  85.065765],[0.9579794  0.85065765 0.9810305 ],799454.0223859213,0.7994540223859212,True,(),True,(),True,2955382,True,(),True,39950,True,(),True,(),3,33240,[ 0.0683899 -0.0859802  0.149002 ],[38.8674 34.3664 39.8816],[38.7990101 34.4523802 39.732598 ],11080,4172.71732450107,33240,0,0,11080,False,11080,0.0,,,False,"('zero volume',)",4493.0,[ 0.06839    0.208423  12.7791996],[38.86740112 34.20289993 39.88159943],[38.79901113 33.99447693 27.10239983],8982.0,3531.0232806906674,0.0,13473.0,0.0,2.0,True,1.0,13502.945539830083,14529.102418829882,0.9293723143096652,True,(),True,(),[128 128 128],[-0.0683899  0.0859802 -0.149002 ],0.0251683,xyz,3.0,"(128, 128, 128)",bool,0.0,1.0,215689.0,0.1028485298156738,215689.0,0.0,130.0,1.0,5.477225575051661,15.937377450509228,0.00152587890625,0.11566162109375,0.2965087890625,True,(),3.0,"(128, 128, 128)",bool,0.0,1.0,213869.0,0.1019806861877441,213869.0,0.0,1.0,1.0,5.656854249492381,16.0312195418814,0.000732421875,0.1185302734375,0.2965698242187499,True,(),True,(),True,(),True,(),,,/ocean/projects/asc170022p/mtragoza/lung-project/notebooks/shapenet/2025-10-30_validate/0103f8f8d5c25bf7/output.csv,0103f8f8d5c25bf7,35732758,5.214189500029049e-08
wss.133c16fc6ca7d77676bb31db0358e9c6,"{'Suitcase', '_StanfordSceneDBModels'}",2,{'Suitcase'},1,True,(),0.0354967373771437,True,(),"(3,)",[ 61.6163   116.096695  28.748169],[0.616163   0.28748169 1.16096695],205648.5546939633,0.2056485546939633,True,(),True,(),True,2924591,True,(),True,33880,True,(),True,(),3,37164,[0. 0. 0.],[17.3583   8.09882 32.7063 ],[17.3583   8.09882 32.7063 ],12388,3194.2233606369346,37164,0,0,12388,False,12388,-4.6111262956098166e-14,,,False,"('zero volume',)",1688.0,[0.57204801 0.         1.68622005],[15.91419983  7.15354013 24.49329948],[15.34215182  7.15354013 22.80707943],3372.0,1131.9686707394328,0.0,5058.0,0.0,2.0,True,1.0,1918.5983774078693,2155.77719665268,0.8899799016275509,True,(),True,(),[128 128 128],[-0. -0. -0.],0.0305751,xyz,3.0,"(128, 128, 128)",bool,0.0,1.0,146827.0,0.0700125694274902,146827.0,0.0,1.0,1.0,6.0,14.594519519326424,0.000244140625,0.109039306640625,0.3007354736328125,True,(),3.0,"(128, 128, 128)",bool,0.0,1.0,147128.0,0.0701560974121093,147128.0,0.0,1.0,1.0,7.0,20.0,0.000244140625,0.10943603515625,0.3007354736328125,True,(),True,(),True,(),True,(),,,/ocean/projects/asc170022p/mtragoza/lung-project/notebooks/shapenet/2025-10-30_validate/2c2a66a5b73cc06d/output.csv,2c2a66a5b73cc06d,35732759,1.3908985279179481e-08
wss.13b48456dad49f8762edbb9e1af21a03,{'FoodItem'},1,{'FoodItem'},1,True,(),0.0009702638924741,True,(),"(3,)",[26.34267  19.32751  26.342667],[0.2634267  0.26342667 0.1932751 ],13412.058529840786,0.0134120585298407,True,(),True,(),True,2418754,True,(),True,36164,True,(),True,(),5,30054,[275.28   230.608   58.5805],[546.78  502.108 257.779],[271.5    271.5    199.1985],10018,274441.0289357535,30054,0,0,10018,False,10018,3678736.531235504,5304010.122915182,0.6935764536613672,True,(),1969.0,[312.122  269.479   60.1744],[509.734 467.091 195.227],[197.612  197.612  135.0526],3934.0,126850.82212075032,0.0,5901.0,0.0,2.0,True,1.0,3657773.125936786,3678442.25277536,0.9943810109230398,True,(),True,(),[128 128 128],[-275.28   -230.608   -58.5805],0.00368324,xyz,3.0,"(128, 128, 128)",bool,0.0,1.0,481524.0,0.2296085357666015,481524.0,0.0,2.0,1.0,9.9498743710662,31.192947920964443,0.00128173828125,0.28717041015625,0.5645874023437503,True,(),3.0,"(128, 128, 128)",bool,0.0,1.0,481523.0,0.2296080589294433,481523.0,0.0,1.0,1.0,9.9498743710662,31.192947920964443,0.00128173828125,0.28717041015625,0.5645874023437503,True,(),True,(),True,(),True,(),,,/ocean/projects/asc170022p/mtragoza/lung-project/notebooks/shapenet/2025-10-30_validate/2c2a66a5b73cc06d/output.csv,2c2a66a5b73cc06d,35732759,1.411852028620359e-07
wss.1644df5fbb3b926029e82c550aa06a9d,{'Monitor'},1,{'Monitor'},1,True,(),0.0010418171476579,True,(),"(3,)",[66.979774 58.853542 42.54573 ],[0.66979774 0.4254573  0.58853542],167715.13756619862,0.1677151375661985,True,(),True,(),True,2184980,True,(),True,67219,True,(),True,(),7,32154,[-354.138  -204.19    -31.3964],[288.775 204.19  533.516],[642.913  408.38   564.9124],10718,4355497.000605935,32154,0,0,10718,False,10718,4.967053731282552e-09,,,False,"('zero volume',)",96.0,[-204.19000244 -204.19000244  -31.39640045],[204.19000244 204.19000244  -7.48030996],[408.38000488 408.38000488  23.91609049],188.0,290313.94022527686,0.0,282.0,0.0,2.0,True,1.0,2793990.971597807,2956002.260895841,0.9451924339026266,True,(),True,(),[128 128 128],[354.138  204.19    31.3964],0.00155542,xyz,3.0,"(128, 128, 128)",bool,0.0,1.0,446369.0,0.2128453254699707,446369.0,0.0,2.0,1.0,5.0990195135927845,15.329709716755891,0.0228515625,0.2369384765625,0.6757202148437496,True,(),3.0,"(128, 128, 128)",bool,0.0,1.0,446412.0,0.2128658294677734,446412.0,0.0,1.0,1.0,5.0990195135927845,15.329709716755891,0.0228515625,0.236968994140625,0.6757202148437496,True,(),True,(),True,(),True,(),,,/ocean/projects/asc170022p/mtragoza/lung-project/notebooks/shapenet/2025-10-30_validate/b20663a8a1600460/output.csv,b20663a8a1600460,35732760,5.053583089002457e-08
wss.18efc77e6837f7d311e76965808086c8,"{'CurioCabinet', 'Cabinet'}",2,"{'CurioCabinet', 'Cabinet'}",2,True,(),0.0234733249201784,True,(),"(3,)",[180.7446  190.72076  59.85698],[1.807446  0.5985698 1.9072076],2063374.6993494716,2.0633746993494717,True,(),True,(),True,3427490,True,(),True,115505,True,(),True,(),5,40164,[-2.50000e+00 -2.55000e+01 -4.61245e-14],[ 7.45000e+01 -6.83436e-17  8.12500e+01],[77.   25.5  81.25],13388,88668.35582220061,40164,0,0,13388,False,13388,-5.820766091346741e-11,,,False,"('zero volume',)",661.0,[ -2.5 -25.5   0. ],[74.5  -0.   81.25],[77.   25.5  81.25],1318.0,15557.436025935014,0.0,1977.0,0.0,2.0,True,1.0,93946.0714591992,104891.57603032586,0.8956493458734748,True,(),True,(),[128 128 128],[2.50000e+00 2.55000e+01 4.61245e-14],0.0123077,xyz,3.0,"(128, 128, 128)",bool,0.0,1.0,292648.0,0.1395454406738281,292648.0,0.0,1.0,1.0,4.123105625617661,13.0,0.030206298828125,0.16693115234375,0.5934814453124998,True,(),3.0,"(128, 128, 128)",bool,0.0,1.0,292648.0,0.1395454406738281,292648.0,0.0,1.0,1.0,4.123105625617661,13.0,0.030206298828125,0.16693115234375,0.5934814453124998,True,(),True,(),True,(),True,(),,,/ocean/projects/asc170022p/mtragoza/lung-project/notebooks/shapenet/2025-10-30_validate/dfdacaf62ea4a0ad/output.csv,dfdacaf62ea4a0ad,35732761,2.0470240631803895e-08
